Player,Rank,ID,.,Tm,Pos,#,Hgt,Wgt,WS,Age,Exp,Drafted,College,Hometown,Nationality,Secondary,Salary,Ct,Personality,NYAMBI,G,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,TS%,eFG%,OBPM,DBPM,BPM,OWS,DWS,WS.1,WS48,ORtg,DRtg,NetRtg,PER,EWA,VORP,ORB%,DRB%,REB%,AST%,STL%,BLK%,TOV%,USG%,$/WS,$/WS48,Cur,Pot,Off Archetype,Def Archetype,InsS,MidS,OutS,FrT,SlfC,ShtD,BalD,FlDr,Fnsh,Play,Pass,Grav,Spac,Hndl,Iso,PstE,PnrE,BBIQ,OnBD,OffD,Help,Stl,PstD,RimP,OffR,DefR,Ath,End,FstS,Quck,Spd,Str,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,MIN_adv,PER_adv,EWA_adv,OWS_adv,DWS_adv,WS_adv,WS48_adv,BPM_adv,OBPM_adv,DBPM_adv,VORP_adv,WARP,DRE,AWS,ORtg_adv,DRtg_adv,NetRtg_adv,RAPM,ORAPM,DRAPM,TS%_adv,3PAr,FTr,ORB%_adv,DRB%_adv,TRB%_adv,AST%_adv,STL%_adv,BLK%_adv,TOV%_adv,USG%_adv,PM,BoxC,OL,Spc,aTOV,Adj3P%,MIN_hsl,SA,SAPG,CSht,CSPG,DFL,DFPG,LBR,LBPG,CD,CDPG,MIN_shot,RimM,RimA,Rim%,ClsM,ClsA,Cls%,MidM,MidA,Mid%,LngM,LngA,Lng%,SL_3PM,SL_3PA,SL_3P%,SL_FT,SL_FTA,SL_FT%,2PM 0-2ft,2PA 0-2ft,Pct_2PM_0_2ft,2PM 2-4ft,2PA 2-4ft,Pct_2PM_2_4ft,2PM 4-6ft,2PA 4-6ft,Pct_2PM_4_6ft,2PM 6+ft,2PA 6+ft,Pct_2PM_6plus,3PM 0-2ft,3PA 0-2ft,Pct_3PM_0_2ft,3PM 2-4ft,3PA 2-4ft,Pct_3PM_2_4ft,3PM 4-6ft,3PA 4-6ft,Pct_3PM_4_6ft,3PM 6+ft,3PA 6+ft,Pct_3PM_6plus,MIN_onoff,On ORtg,Off ORtg,On Net,On DRtg,Off DRtg,Off Net,Floor Net,PO_Tm,PO_G,PO_GS,PO_MPG,PO_FG,PO_FGA,PO_FG%,PO_3P,PO_3PA,PO_3P%,PO_eFG%,PO_TS%,PO_FT,PO_FTA,PO_FT%,PO_ORB,PO_DRB,PO_TRB,PO_AST,PO_STL,PO_BLK,PO_TOV,PO_PF,PO_PPG,MIN_pt,Plays,Isolation_Poss,Isolation_PTS,Isolation_PPP,Isolation_eFG,PnR_BallHandler_Poss,PnR_BallHandler_PTS,PnR_BallHandler_PPP,PnR_BallHandler_eFG,PnR_Rollman_Poss,PnR_Rollman_PTS,PnR_Rollman_PPP,PnR_Rollman_eFG,PostUp_Poss,PostUp_PTS,PostUp_PPP,PostUp_eFG,SpotUp_Poss,SpotUp_PTS,SpotUp_PPP,SpotUp_eFG,Handoff_Poss,Handoff_PTS,Handoff_PPP,Handoff_eFG,Cut_Poss,Cut_PTS,Cut_PPP,Cut_eFG,OffScreen_Poss,OffScreen_PTS,OffScreen_PPP,OffScreen_eFG,Transition_Poss,Transition_PTS,Transition_PPP,Transition_eFG,Misc_Poss,Misc_PTS,Misc_PPP,Misc_eFG,WS_actual,ValueIndex,DollarPerWS,ScorePerUsage
gordo dubar,145,159860,face,Dragons,C,44.0,83 -             6'11“;,249,5.5,25,3,"#20, Dragons, 2047",La Salle,"Memphis, Tennessee",,,3250000,1,Professional,18.9,82.0,73.0,30.0,10.6,9.5,1.6,0.4,2.0,1.0,0.555,0.773,0.514,0.669,0.637,-1.7,2.1,0.3,3.7,1.8,5.5,0.1,128.4,119.3,9.1,14.9,-0.8,1.4,5.7,28.3,16.6,7.5,0.7,5.8,11.2,13.0,"587,115","30,121,431",4.0,4.5,Roll-and-Cut Big,Anchor Big,11,15,9,14,10,4,6,19,10,6,13,5,7,4,10,16,7,13,7,11,19,2,17,19,16,15,15,10,13,15,19,17,3.8,6.9,1.1,2.2,1.9,2.4,1.7,7.9,9.5,1.6,0.44,2.01,1.0,2.5,2462.6,14.9,-0.8,3.7,1.8,5.5,0.108,0.3,-1.7,2.1,1.4,3.9,2.6,7.1,128.4,119.3,9.1,1.0,0.5,0.4,0.669,0.319,0.352,5.7,28.3,16.6,7.5,0.7,5.8,11.2,13.0,-3.1,1.4,17.6,0.8,9.3,0.486,2462.6,236.0,2.9,660.0,8.0,0.0,0.0,24.0,0.3,8.0,0.1,2462.6,157.0,244.0,0.643,57.0,124.0,0.46,6.0,15.0,0.4,0.0,0.0,,92.0,179.0,0.514,198.0,153.0,0.773,76.0,182.0,0.418,118.0,177.0,0.667,56.0,99.0,0.566,62.0,104.0,0.596,3.0,6.0,0.5,16.0,33.0,0.485,30.0,62.0,0.484,43.0,78.0,0.551,2463,116.2,110.0,6.2,121.7,122.4,-0.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,2462.6,715.0,1.0,1.0,1.0,,214.0,258.0,1.21,0.638,4.0,6.0,1.5,0.333,69.0,87.0,1.26,0.75,226.0,302.0,1.34,0.703,1.0,0.0,0.0,,1.0,2.0,2.0,0.0,38.0,38.0,1.0,0.5,140.0,144.0,1.03,0.514,21.0,21.0,1.0,0.533,5.5,2.123076923076923,590909.0909090909,0.8153846153846154
kellen hendy,146,169667,face,Drones,PF/C,49.0,82 -             6'10“;,257,1.0,25,6,"#13, Giants, 2044",Marquette,"Mahomet, Illinois",United States,,10000000,2,Confident,3.6,23.0,23.0,24.5,6.3,7.5,1.0,0.3,1.5,0.78,0.598,0.917,0.667,0.649,0.608,-1.5,0.9,-0.6,0.5,0.5,1.0,0.1,122.1,117.5,4.6,11.3,-1.2,0.2,5.2,26.0,15.5,5.3,0.5,5.4,13.8,10.0,"10,074,908","118,233,240",5.0,5.0,Roll-and-Cut Big,Anchor Big,20,12,15,16,17,5,20,9,19,9,5,11,4,4,10,18,19,20,7,8,15,2,17,19,17,18,10,3,11,9,5,19,2.7,4.4,0.1,0.1,1.0,1.0,1.3,6.3,7.5,1.0,0.26,1.52,0.8,2.6,563.3,11.3,-1.2,0.5,0.5,1.0,0.085,-0.6,-1.5,0.9,0.2,0.5,0.8,4.2,122.1,117.5,4.6,1.1,0.7,0.4,0.649,0.029,0.235,5.2,26.0,15.5,5.3,0.5,5.4,13.8,10.0,-2.4,0.5,13.0,0.1,11.9,0.085,563.3,46.0,2.0,145.0,6.3,0.0,0.0,11.0,0.5,0.0,0.0,563.3,53.0,77.0,0.688,5.0,18.0,0.278,1.0,4.0,0.25,0.0,0.0,,2.0,3.0,0.667,24.0,22.0,0.917,19.0,40.0,0.475,31.0,47.0,0.66,7.0,9.0,0.778,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,563,114.6,111.6,3.0,119.1,118.9,0.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,563.3,128.0,0.0,0.0,0.0,,51.0,59.0,1.16,0.585,2.0,0.0,0.0,0.0,17.0,25.0,1.47,0.767,12.0,11.0,0.92,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,9.0,8.0,0.89,0.571,31.0,37.0,1.19,0.615,6.0,6.0,1.0,0.75,1.0,0.12,10000000.0,0.63
james winters,147,106129,face,Fireballs,C,45.0,85 -             7'1“;,231,4.7,30,11,"#10, Fireballs, 2039",Missouri,"Walker, Louisiana",United States,,15000000,2,Ambitious,13.7,82.0,82.0,30.0,15.8,10.1,2.0,0.5,1.7,1.71,0.544,0.738,0.0,0.576,0.544,-4.6,2.4,-2.1,1.4,3.3,4.7,0.1,112.2,113.9,-1.8,16.8,1.6,-0.1,6.7,27.6,16.9,10.1,0.8,4.8,11.1,21.4,"3,213,493","164,919,112",5.0,5.0,Interior Playmaker,Anchor Big,18,6,10,14,9,4,17,9,19,11,19,19,7,19,17,20,19,18,4,4,14,15,18,17,19,19,11,7,9,11,3,17,6.6,12.2,0.0,0.0,2.5,3.4,2.1,8.1,10.1,2.0,0.49,1.67,1.7,2.2,2463.4,16.8,1.6,1.4,3.3,4.7,0.091,-2.1,-4.6,2.4,-0.1,-0.2,1.9,7.1,112.2,113.9,-1.8,0.5,-0.8,1.4,0.576,0.0,0.28,6.7,27.6,16.9,10.1,0.8,4.8,11.1,21.4,0.1,2.1,28.3,0.0,9.6,0.0,2463.4,197.0,2.4,593.0,7.2,0.0,0.0,25.0,0.3,5.0,0.1,2463.4,360.0,536.0,0.672,144.0,342.0,0.421,31.0,100.0,0.31,8.0,20.0,0.4,0.0,0.0,0.0,279.0,206.0,0.738,178.0,365.0,0.488,222.0,385.0,0.577,63.0,114.0,0.553,80.0,134.0,0.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2463,113.3,110.6,2.7,113.4,118.4,-5.0,7.7,Fireballs,1.0,1.0,32.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.888,4.0,4.0,1.0,3.0,8.0,11.0,1.0,0.0,7.0,0.0,5.0,12.0,2463.4,1242.0,2.0,2.0,1.0,0.5,259.0,296.0,1.14,0.619,63.0,54.0,0.86,0.42,194.0,236.0,1.22,0.653,166.0,152.0,0.92,0.463,62.0,45.0,0.73,0.353,4.0,2.0,0.5,0.25,252.0,248.0,0.98,0.503,199.0,230.0,1.16,0.615,41.0,19.0,0.46,0.257,4.7,0.3066666666666667,3191489.3617021274,0.7383177570093459
duane johnson,148,60052,face,Free Agent,PF,40.0,82 -             6'10“;,245,0.0,31,11,"#47, Barons, 2039",Maryland,"Baltimore, Maryland",United States,,0,0,Relaxed,0.9,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.667,0.667,-3.9,-5.8,-9.7,0.0,0.0,0.0,-0.1,100.6,130.4,-29.8,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0,0,4.5,4.5,Roll-and-Cut Big,Mobile Big,15,17,6,16,17,3,11,20,13,8,10,9,2,3,11,14,9,13,11,13,18,4,19,18,19,16,14,10,11,9,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1234567901234568
mario moore,149,61202,face,Free Agent,SG,12.0,76 -             6'4“;,204,2.7,31,11,"#23, Bullets, 2039",Kentucky,"Montgomery, Alabama",United States,,0,0,Leader,3.3,80.0,1.0,14.7,6.2,2.0,2.1,0.8,0.1,0.6,0.465,0.848,0.428,0.594,0.561,2.2,-1.2,1.0,1.5,1.3,2.7,0.1,120.5,116.3,4.2,14.4,-0.7,0.9,3.6,10.2,7.0,18.2,2.5,0.4,10.3,17.1,0,0,5.0,5.0,Secondary Creator,Wing Stopper,15,16,19,18,19,14,11,17,17,17,19,16,12,13,19,2,19,10,17,19,12,20,3,3,7,18,17,14,14,19,16,19,2.2,4.8,0.9,2.2,0.8,1.0,0.5,1.5,2.0,2.1,0.76,0.08,0.6,0.9,1173.5,14.4,-0.7,1.5,1.3,2.7,0.112,1.0,2.2,-1.2,0.9,2.4,1.5,3.3,120.5,116.3,4.2,3.6,2.3,1.3,0.594,0.449,0.205,3.6,10.2,7.0,18.2,2.5,0.4,10.3,17.1,1.7,4.9,27.5,0.7,7.1,0.427,1173.5,12.0,0.2,209.0,2.6,0.0,0.0,17.0,0.2,4.0,0.1,1173.5,55.0,97.0,0.567,27.0,56.0,0.482,17.0,38.0,0.447,6.0,21.0,0.286,74.0,173.0,0.428,79.0,67.0,0.848,15.0,51.0,0.294,56.0,122.0,0.459,30.0,76.0,0.395,78.0,136.0,0.574,0.0,4.0,0.0,8.0,27.0,0.296,14.0,46.0,0.304,52.0,96.0,0.542,,,,,,,,,Rockets,3.0,0.0,6.8,1.0,2.3,0.429,0.0,1.3,0.0,0.429,0.47,0.3,0.3,1.0,0.0,0.3,0.3,0.0,0.33,0.33,0.7,0.7,2.3,1173.5,462.0,98.0,89.0,0.91,0.541,3.0,4.0,1.33,0.5,34.0,29.0,0.85,0.448,111.0,147.0,1.32,0.722,129.0,133.0,1.03,0.532,32.0,31.0,0.97,0.446,20.0,19.0,0.95,0.433,6.0,4.0,0.67,0.0,28.0,31.0,1.11,0.542,1.0,0.0,0.0,0.0,2.7,,0.0,0.36257309941520466
danny winchester,150,100991,face,Free Agent,PF,7.0,81 -             6'9“;,233,0.6,29,7,"#23, Kings, 2043",Purdue,"Eads, Tennessee",United States,,0,0,Introverted,5.0,31.0,2.0,13.8,6.8,3.9,1.1,0.5,0.6,0.77,0.417,0.455,0.367,0.505,0.505,0.6,0.3,0.9,-0.2,0.8,0.6,0.1,104.0,109.1,-5.1,13.6,-0.4,0.3,7.3,19.2,13.4,9.6,1.5,3.2,10.3,21.6,0,0,5.0,5.0,Stretch Big,Mobile Big,17,16,15,12,7,4,16,8,10,5,14,9,14,2,7,16,15,18,14,14,14,17,15,16,17,17,19,16,16,13,13,13,2.7,6.6,1.2,3.2,0.2,0.4,1.0,2.8,3.9,1.1,0.45,0.58,0.8,0.7,428.8,13.6,-0.4,-0.2,0.8,0.6,0.072,0.9,0.6,0.3,0.3,0.8,0.2,3.0,104.0,109.1,-5.1,-0.4,1.4,-1.7,0.505,0.48,0.054,7.3,19.2,13.4,9.6,1.5,3.2,10.3,21.6,0.1,3.0,29.9,0.1,8.7,0.367,428.8,16.0,0.5,104.0,3.4,0.0,0.0,2.0,0.1,2.0,0.1,428.8,28.0,46.0,0.609,14.0,35.0,0.4,7.0,23.0,0.304,0.0,2.0,0.0,36.0,98.0,0.367,11.0,5.0,0.455,17.0,43.0,0.395,19.0,53.0,0.358,19.0,45.0,0.422,30.0,63.0,0.476,1.0,2.0,0.5,3.0,18.0,0.167,9.0,29.0,0.31,23.0,49.0,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.8,231.0,7.0,9.0,1.29,0.643,32.0,29.0,0.91,0.483,1.0,0.0,0.0,,43.0,58.0,1.35,0.69,110.0,85.0,0.77,0.438,6.0,5.0,0.83,0.625,2.0,0.0,0.0,0.0,4.0,4.0,1.0,0.333,16.0,15.0,0.94,0.538,10.0,6.0,0.6,0.375,0.6,,0.0,0.31481481481481477
rené köpke,151,422285,face,Huskies,SF,0.0,81 -             6'9“;,228,3.8,21,2,"#15, Huskies, 2048",,"Bad Krozingen, Germany",Germany,,4000000,1+1t,Charismatic,14.0,80.0,0.0,18.8,6.0,2.7,2.8,1.0,0.2,0.68,0.531,0.767,0.0,0.572,0.531,2.1,-0.7,1.4,2.2,1.5,3.8,0.1,125.9,116.7,9.2,13.3,-1.7,1.3,4.7,10.0,7.3,18.4,2.5,0.9,11.3,13.3,"1,057,862","33,216,857",4.0,5.0,Slasher,Helper,15,10,11,12,15,17,11,15,17,17,14,8,17,13,12,5,17,13,16,12,15,16,7,4,12,8,17,15,14,16,16,5,2.5,4.6,0.0,0.0,1.1,1.5,0.9,1.8,2.7,2.8,0.98,0.2,0.7,1.1,1507.2,13.3,-1.7,2.2,1.5,3.8,0.12,1.4,2.1,-0.7,1.3,3.6,1.6,3.8,125.9,116.7,9.2,-1.4,-0.8,-0.6,0.572,0.0,0.313,4.7,10.0,7.3,18.4,2.5,0.9,11.3,13.3,2.3,1.8,21.9,0.0,7.9,0.0,1507.2,15.0,0.2,246.0,3.1,0.0,0.0,19.0,0.2,5.0,0.1,1507.2,126.0,195.0,0.646,35.0,66.0,0.53,18.0,55.0,0.327,18.0,55.0,0.327,0.0,0.0,0.0,116.0,89.0,0.767,31.0,84.0,0.369,76.0,135.0,0.563,30.0,60.0,0.5,60.0,92.0,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507,119.5,121.9,-2.4,114.4,115.6,-1.2,-1.2,Huskies,14.0,0.0,14.9,2.0,4.9,0.406,0.0,0.0,0.0,0.406,0.438,0.6,0.9,0.75,0.7,1.2,1.9,2.1,0.5,0.21,0.5,1.4,4.6,1507.2,474.0,119.0,110.0,0.92,0.516,1.0,0.0,0.0,0.0,33.0,29.0,0.88,0.4,121.0,156.0,1.29,0.708,81.0,77.0,0.95,0.464,35.0,26.0,0.74,0.308,26.0,24.0,0.92,0.417,13.0,17.0,1.31,0.556,41.0,36.0,0.88,0.483,4.0,4.0,1.0,0.5,3.8,1.275,1052631.5789473685,0.45112781954887216
keshaun freeman,152,433915,face,Kings,C,0.0,84 -             7'0“;,260,6.7,21,2,"#3, Kings, 2048",,"Pueblo, Colorado",United States,,5800000,1+1t,Workhorse,18.8,80.0,80.0,29.6,10.8,11.4,0.9,0.5,1.5,1.15,0.549,0.665,0.351,0.598,0.571,-0.2,0.0,-0.2,1.9,4.8,6.7,0.1,118.3,107.6,10.6,13.6,-2.2,1.1,7.2,29.1,18.4,3.3,0.8,3.8,11.3,13.7,"863,079","42,553,366",4.5,4.5,Roll-and-Cut Big,Anchor Big,17,4,10,10,17,5,15,17,18,6,6,12,5,5,9,16,16,8,3,7,16,8,17,18,15,16,14,6,10,7,2,11,4.2,7.7,0.3,1.0,1.9,2.9,2.2,9.2,11.4,0.9,0.5,1.46,1.2,1.5,2366.6,13.6,-2.2,1.9,4.8,6.7,0.136,-0.2,-0.2,0.0,1.1,2.9,1.5,6.8,118.3,107.6,10.6,1.0,-0.2,1.2,0.598,0.125,0.378,7.2,29.1,18.4,3.3,0.8,3.8,11.3,13.7,6.5,0.7,17.3,0.0,10.4,0.223,2366.6,175.0,2.2,593.0,7.4,0.0,0.0,29.0,0.4,8.0,0.1,2366.6,200.0,288.0,0.694,95.0,206.0,0.461,17.0,46.0,0.37,0.0,0.0,,27.0,77.0,0.351,233.0,155.0,0.665,110.0,208.0,0.529,118.0,201.0,0.587,70.0,120.0,0.583,41.0,88.0,0.466,0.0,1.0,0.0,3.0,13.0,0.231,11.0,25.0,0.44,13.0,38.0,0.342,2367,117.2,123.3,-6.0,107.6,113.6,-5.9,-0.1,Kings,27.0,22.0,34.0,4.2,7.7,0.545,0.3,1.2,0.281,0.567,0.596,2.1,3.2,0.663,2.3,10.0,12.3,0.9,0.59,2.26,1.5,2.0,10.9,2366.6,800.0,2.0,3.0,1.5,,285.0,331.0,1.16,0.642,11.0,13.0,1.18,0.688,112.0,109.0,0.97,0.538,119.0,121.0,1.02,0.525,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,66.0,70.0,1.06,0.51,170.0,178.0,1.05,0.575,34.0,24.0,0.71,0.318,6.7,1.3448275862068968,865671.6417910447,0.7883211678832118
ben haygood,153,136039,face,Predators,C,55.0,85 -             7'1“;,235,6.1,28,6,"#28, Predators, 2044",NC State,"Greenville, South Carolina",United States,,12150000,1,Friendly,11.9,71.0,71.0,26.3,8.6,9.6,0.7,0.4,1.6,0.85,0.615,0.821,0.0,0.65,0.615,1.4,0.4,1.8,2.7,3.5,6.1,0.2,129.5,109.3,20.2,14.3,-1.1,1.8,8.4,28.6,18.6,3.0,0.6,5.3,11.4,11.7,"1,980,455","76,969,572",4.0,4.0,Roll-and-Cut Big,Anchor Big,17,6,7,16,14,4,7,19,16,5,3,8,4,2,11,17,15,10,3,7,14,7,17,18,19,19,12,17,11,11,3,12,3.6,5.9,0.0,0.0,1.4,1.6,2.2,7.4,9.6,0.7,0.35,1.61,0.8,1.7,1865.5,14.3,-1.1,2.7,3.5,6.1,0.158,1.8,1.4,0.4,1.8,4.8,1.7,6.1,129.5,109.3,20.2,1.4,0.6,0.7,0.65,0.002,0.281,8.4,28.6,18.6,3.0,0.6,5.3,11.4,11.7,5.5,0.7,15.0,0.0,10.3,0.0,1865.5,225.0,3.2,445.0,6.3,0.0,0.0,15.0,0.2,4.0,0.1,1865.5,203.0,277.0,0.733,39.0,98.0,0.398,13.0,38.0,0.342,1.0,2.0,0.5,0.0,1.0,0.0,117.0,96.0,0.821,95.0,168.0,0.565,102.0,144.0,0.708,29.0,58.0,0.5,30.0,46.0,0.652,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865,121.7,120.3,1.4,111.4,110.2,1.1,0.3,Predators,24.0,24.0,33.3,4.3,7.3,0.589,0.0,0.0,0.0,0.589,0.627,1.8,2.2,0.808,2.0,9.3,11.3,1.0,0.63,2.38,1.0,2.0,10.3,1865.5,515.0,0.0,2.0,0.0,,192.0,224.0,1.17,0.614,8.0,7.0,0.88,0.4,62.0,77.0,1.24,0.63,46.0,60.0,1.3,0.625,0.0,0.0,0.0,,0.0,0.0,0.0,,32.0,22.0,0.69,0.409,134.0,169.0,1.26,0.676,41.0,47.0,1.15,0.559,6.1,0.6502057613168724,1991803.2786885246,0.7350427350427351
tayshaun aumiller,154,152907,face,Renegades,SG,44.0,76 -             6'4“;,209,4.9,25,6,"#3, Vultures, 2044",Florida,"Chattanooga, Tennessee",United States,,20000000,1,Introverted,21.2,78.0,7.0,29.3,14.9,5.4,2.7,1.8,0.1,1.77,0.453,0.825,0.385,0.578,0.555,1.7,0.7,2.4,1.5,3.3,4.9,0.1,112.9,112.8,0.2,15.7,0.2,2.5,5.4,13.9,9.7,13.2,3.0,0.2,12.1,21.7,"4,105,923","195,433,372",5.0,5.0,Secondary Creator,Wing Stopper,18,9,19,15,17,17,17,11,17,10,16,16,19,19,15,3,19,19,19,18,13,18,2,6,15,19,16,10,12,13,18,13,5.5,12.1,2.5,6.4,1.4,1.8,1.5,3.9,5.4,2.7,1.78,0.09,1.8,0.9,2284.7,15.7,0.2,1.5,3.3,4.9,0.102,2.4,1.7,0.7,2.5,6.9,2.4,7.1,112.9,112.8,0.2,0.8,0.4,0.4,0.578,0.527,0.145,5.4,13.9,9.7,13.2,3.0,0.2,12.1,21.7,4.0,4.3,31.2,0.3,9.5,0.385,2284.7,25.0,0.3,316.0,4.1,0.0,0.0,24.0,0.3,7.0,0.1,2284.7,166.0,272.0,0.61,32.0,89.0,0.36,27.0,63.0,0.429,12.0,23.0,0.522,192.0,499.0,0.385,137.0,113.0,0.825,57.0,159.0,0.358,138.0,276.0,0.5,90.0,215.0,0.419,144.0,296.0,0.486,3.0,10.0,0.3,37.0,116.0,0.319,59.0,150.0,0.393,93.0,223.0,0.417,2285,119.4,122.0,-2.6,113.3,114.0,-0.8,-1.8,Renegades,6.0,1.0,25.9,4.7,10.2,0.459,2.5,5.3,0.469,0.582,0.601,0.8,0.8,1.0,1.7,2.8,4.5,2.5,1.5,0.0,2.0,1.5,12.7,2284.7,1123.0,298.0,284.0,0.95,0.525,8.0,5.0,0.63,0.25,101.0,70.0,0.69,0.359,151.0,202.0,1.34,0.788,381.0,414.0,1.09,0.581,59.0,62.0,1.05,0.51,48.0,41.0,0.85,0.5,12.0,12.0,1.0,0.375,63.0,53.0,0.84,0.442,2.0,0.0,0.0,0.0,4.9,0.37,4081632.653061224,0.6866359447004609
sepp aldag,155,145228,face,Stonecutters,PG,11.0,78 -             6'6“;,199,6.5,28,6,"#30, Jaguars, 2044",Georgetown,"Pocking, Germany",Germany,,5050000,1,Balanced,4.5,80.0,80.0,29.9,11.8,2.7,7.6,1.2,0.1,1.55,0.439,0.76,0.357,0.539,0.521,2.8,-2.7,0.2,3.4,3.1,6.5,0.1,121.5,114.2,7.3,13.9,-1.9,1.3,2.3,6.1,4.3,29.7,1.9,0.2,12.4,16.6,"776,017","38,710,308",4.0,4.0,Primary Ballhandler,Point Of Attack,18,17,15,14,17,16,15,14,19,13,19,18,11,19,16,1,17,17,18,18,10,8,8,4,5,7,16,14,19,15,11,4,4.5,10.3,1.7,4.8,1.0,1.3,0.7,2.0,2.7,7.6,1.23,0.08,1.6,0.8,2394.4,13.9,-1.9,3.4,3.1,6.5,0.13,0.2,2.8,-2.7,1.3,3.6,2.2,6.7,121.5,114.2,7.3,0.6,-1.2,1.8,0.539,0.461,0.126,2.3,6.1,4.3,29.7,1.9,0.2,12.4,16.6,6.6,7.1,33.1,-0.1,7.2,0.356,2394.4,8.0,0.1,334.0,4.2,0.0,0.0,24.0,0.3,9.0,0.1,2394.4,116.0,175.0,0.663,48.0,112.0,0.429,30.0,61.0,0.492,33.0,98.0,0.337,136.0,381.0,0.357,104.0,79.0,0.76,32.0,79.0,0.405,94.0,216.0,0.435,81.0,184.0,0.44,156.0,348.0,0.448,0.0,6.0,0.0,14.0,49.0,0.286,46.0,125.0,0.368,76.0,201.0,0.378,,,,,,,,,Kings,27.0,25.0,34.7,4.4,10.9,0.401,1.4,4.6,0.309,0.466,0.492,1.2,1.4,0.842,0.7,1.8,2.6,8.5,1.48,0.15,1.5,1.5,11.3,2394.4,985.0,315.0,290.0,0.92,0.514,4.0,3.0,0.75,0.5,42.0,38.0,0.9,0.474,218.0,278.0,1.28,0.699,269.0,196.0,0.73,0.402,53.0,50.0,0.94,0.521,48.0,29.0,0.6,0.321,7.0,8.0,1.14,0.667,27.0,34.0,1.26,0.7,2.0,0.0,0.0,0.0,6.5,1.5445544554455446,776923.0769230769,0.7108433734939759
jordan kolaxis,156,61876,face,Tritons,SF/PF,77.0,81 -             6'9“;,233,6.6,31,12,"#9, Giants, 2038",BYU,"Phoenix, Arizona",United States,,6000000,1,Friendly,12.2,82.0,82.0,31.8,15.8,8.0,3.0,1.4,1.2,1.65,0.475,0.872,0.383,0.586,0.544,0.3,2.8,3.1,2.7,3.9,6.6,0.1,116.2,112.5,3.6,16.9,1.8,3.4,5.1,21.2,13.4,13.2,2.2,3.4,10.9,21.0,"915,108","49,745,624",5.0,5.0,Glue Guy,Helper,16,13,14,17,18,17,19,15,15,8,13,18,9,18,19,7,14,14,19,19,18,19,19,13,13,17,10,8,6,10,14,7,5.8,12.2,1.7,4.4,2.5,2.9,1.5,6.6,8.0,3.0,1.43,1.24,1.6,2.3,2609.3,16.9,1.8,2.7,3.9,6.6,0.121,3.1,0.3,2.8,3.4,9.1,3.4,7.9,116.2,112.5,3.6,3.8,1.2,2.7,0.586,0.359,0.235,5.1,21.2,13.4,13.2,2.2,3.4,10.9,21.0,3.9,4.3,30.0,0.2,8.5,0.382,2609.3,48.0,0.6,555.0,6.8,0.0,0.0,37.0,0.5,13.0,0.2,2609.3,232.0,391.0,0.593,56.0,143.0,0.392,38.0,85.0,0.447,12.0,23.0,0.522,138.0,360.0,0.383,235.0,205.0,0.872,92.0,250.0,0.368,166.0,306.0,0.542,78.0,180.0,0.433,140.0,266.0,0.526,1.0,3.0,0.333,17.0,74.0,0.23,35.0,109.0,0.321,85.0,174.0,0.489,2609,121.5,114.9,6.6,115.1,114.9,0.2,6.3,Tritons,6.0,6.0,36.5,5.2,10.3,0.5,1.2,3.2,0.368,0.556,0.611,3.0,3.5,0.857,2.0,10.0,12.0,3.0,1.17,0.83,1.7,2.0,14.5,2609.3,1228.0,225.0,186.0,0.83,0.42,15.0,15.0,1.0,0.611,139.0,136.0,0.98,0.469,177.0,238.0,1.34,0.742,382.0,383.0,1.0,0.534,74.0,75.0,1.01,0.533,76.0,90.0,1.18,0.553,7.0,10.0,1.43,0.7,128.0,144.0,1.13,0.574,5.0,6.0,1.2,0.5,6.6,1.6666666666666667,909090.9090909092,0.7523809523809524
